,Top 25,Top 50,Top 100,Top 200
precision,"(0.08, 0.05059644256269407)","(0.076, 0.019595917942265426)","(0.05, 0.02)","(0.031, 0.014628738838327791)"
recall,"(0.020537002679859823, 0.01317859318529771)","(0.03894815501958359, 0.00986798898775628)","(0.051278086992372705, 0.020457396343243804)","(0.06354488765203051, 0.02986375635168968)"
f1,"(0.03268288348039439, 0.020910081684912433)","(0.05150093552226494, 0.013124690701694836)","(0.05062935787989629, 0.020224236635354213)","(0.04166991731917323, 0.019636947714165846)"
ndcg,"(0.09937490892302313, 0.06348265622669412)","(0.08991212870891836, 0.04373148439293604)","(0.06446779271341681, 0.02477038844551966)","(0.07183735970232366, 0.02781761272451986)"
