,Top 50,Top 100,Top 200,Top N
precision,"(0.004, 0.008)","(0.02, 0.008944271909999158)","(0.012, 0.005099019513592784)","(0.02, 0.006803013430498075)"
recall,"(0.0125, 0.025)","(0.1216374269005848, 0.059692017457284766)","(0.1452485380116959, 0.06769242666969977)","(0.1327485380116959, 0.050877087954452324)"
f1,"(0.006060606060606061, 0.012121212121212121)","(0.03433738194284143, 0.015583929142031923)","(0.02216287545557371, 0.009490947588200661)","(0.034747600590623845, 0.012024241015087703)"
ndcg,"(0.004986987986224407, 0.009973975972448814)","(0.04312834578507719, 0.02073645322812702)","(0.05098046859660708, 0.02357411497524447)","(0.04709158517147459, 0.017757365121924835)"
