,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.012, 0.009797958971132711)","(0.01, 0.006324555320336759)","(0.009000000000000001, 0.0037416573867739412)"
recall,"(0.016666666666666666, 0.03333333333333333)","(0.04871794871794871, 0.03984684684082065)","(0.08205128205128204, 0.052766963146811986)","(0.1487179487179487, 0.06376835956638917)"
f1,"(0.010810810810810811, 0.021621621621621623)","(0.019252432155657962, 0.015720656886609275)","(0.01782553729456384, 0.011294025679734705)","(0.016972273894941978, 0.007069216568729582)"
ndcg,"(0.03927158715985786, 0.07854317431971572)","(0.05299500492593736, 0.07330542679341076)","(0.06577506448805719, 0.06885465845058214)","(0.08862438162234387, 0.07237974555067757)"
