,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.004, 0.004898979485566356)","(0.004, 0.002)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.026666666666666665, 0.032659863237109045)","(0.05249999999999999, 0.026299556396765834)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.006956521739130435, 0.008519964322724099)","(0.007433247200689061, 0.003716661027434879)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.01108059060914687, 0.013571179722986477)","(0.02065565752657124, 0.010464571628283188)"
