,Top 50,Top 100,Top 200,Top N
precision,"(0.048, 0.00979795897113271)","(0.028000000000000004, 0.007483314773547883)","(0.016999999999999998, 0.005099019513592785)","(0.0196319018404908, 0.007154542202264172)"
recall,"(0.07483504398826979, 0.014331344470027587)","(0.08734726295210167, 0.02241188809344137)","(0.10609726295210167, 0.031253325698381705)","(0.09984726295210167, 0.03587981541354968)"
f1,"(0.05848071599859238, 0.011639862981953648)","(0.042402501743602584, 0.011212937156297037)","(0.029303137294849596, 0.008765566599652207)","(0.032810370777970194, 0.011927294194134226)"
ndcg,"(0.0669291041684947, 0.01592823438353277)","(0.07348201085178734, 0.019350656754931316)","(0.08207561139260566, 0.022485159587961233)","(0.07939631944183498, 0.023366304792031365)"
