,Top 50,Top 100,Top 200,Top N
precision,"(0.032, 0.009797958971132713)","(0.022, 0.007483314773547882)","(0.016, 0.008602325267042627)","(0.01732283464566929, 0.005892373837439277)"
recall,"(0.0736923831317424, 0.02471458640150267)","(0.10124768442846246, 0.03863150848606666)","(0.14985561730412988, 0.09288618687697968)","(0.10124768442846246, 0.03863150848606666)"
f1,"(0.04455121934003562, 0.0138954331092659)","(0.03610159424226414, 0.012461648879999027)","(0.028888333556428142, 0.015734373562025467)","(0.02955322736326093, 0.010172076857272087)"
ndcg,"(0.042582348606181854, 0.016569872466073925)","(0.05410064866209422, 0.019988533750718237)","(0.07084258893409796, 0.0356441950042782)","(0.05410064866209422, 0.019988533750718237)"
