,Top 50,Top 100,Top 200,Top N
precision,"(0.012, 0.009797958971132711)","(0.006, 0.004898979485566356)","(0.003, 0.002449489742783178)","(0.02727272727272727, 0.022268088570756166)"
recall,"(0.13999999999999999, 0.11575836902790225)","(0.13999999999999999, 0.11575836902790225)","(0.13999999999999999, 0.11575836902790225)","(0.13999999999999999, 0.11575836902790225)"
f1,"(0.022087542087542086, 0.018036078826661677)","(0.011501831501831502, 0.009391444216038379)","(0.005872788139646102, 0.004795143234587089)","(0.045584045584045586, 0.037233753282517476)"
ndcg,"(0.15357750324903469, 0.1498972814798246)","(0.15357750324903469, 0.1498972814798246)","(0.15357750324903469, 0.1498972814798246)","(0.15357750324903469, 0.1498972814798246)"
