,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.004, 0.008)","(0.006, 0.008)","(0.003, 0.004)"
recall,"(0.015384615384615385, 0.03076923076923077)","(0.015384615384615385, 0.03076923076923077)","(0.046153846153846156, 0.06153846153846154)","(0.046153846153846156, 0.06153846153846154)"
f1,"(0.010526315789473686, 0.02105263157894737)","(0.00634920634920635, 0.0126984126984127)","(0.010619469026548676, 0.014159292035398232)","(0.005633802816901409, 0.007511737089201879)"
ndcg,"(0.016083854218957305, 0.03216770843791461)","(0.016083854218957305, 0.03216770843791461)","(0.028213839174221378, 0.04237891629663131)","(0.028213839174221378, 0.04237891629663131)"
