,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.002, 0.004)","(0.0, 0.0)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.03076923076923077, 0.06153846153846154)","(0.0, 0.0)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.003755868544600939, 0.007511737089201878)","(0.0, 0.0)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.010317593050619276, 0.020635186101238552)","(0.0, 0.0)"
