,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.012, 0.009797958971132711)","(0.01, 0.006324555320336759)","(0.006, 0.002)"
recall,"(0.0, 0.0)","(0.05636363636363637, 0.046140281965270986)","(0.08969696969696969, 0.0530640585208425)","(0.10636363636363637, 0.03061056072527125)"
f1,"(0.0, 0.0)","(0.01978142076502732, 0.01615269489559984)","(0.017986427986427987, 0.011294500471634602)","(0.011356608457565268, 0.0037557655066177056)"
ndcg,"(0.0, 0.0)","(0.02502886540692419, 0.020463464718069597)","(0.03741341443307902, 0.02030564417078274)","(0.042790299160849546, 0.011208367826558279)"
