,Top 25,Top 50,Top 100,Top 200
precision,"(0.024, 0.019595917942265423)","(0.028000000000000004, 0.023999999999999997)","(0.022, 0.018330302779823362)","(0.011, 0.009165151389911681)"
recall,"(0.05454545454545454, 0.04453617714151233)","(0.12727272727272726, 0.10909090909090909)","(0.2, 0.16663911618021238)","(0.2, 0.16663911618021238)"
f1,"(0.03333333333333333, 0.02721655269759087)","(0.04590163934426229, 0.039344262295081964)","(0.03963963963963964, 0.0330275725762583)","(0.02085308056872038, 0.01737469457803162)"
ndcg,"(0.036279954816659014, 0.03359300060576019)","(0.06736531011279227, 0.05692256071846884)","(0.09375900294910637, 0.07658217907216694)","(0.09375900294910637, 0.07658217907216694)"
