,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.008, 0.009797958971132711)","(0.006, 0.008)","(0.005, 0.00447213595499958)"
recall,"(0.03333333333333333, 0.06666666666666667)","(0.06666666666666667, 0.0816496580927726)","(0.1, 0.13333333333333336)","(0.18333333333333332, 0.15275252316519466)"
f1,"(0.012903225806451613, 0.02580645161290323)","(0.014285714285714285, 0.01749635530559413)","(0.011320754716981133, 0.015094339622641508)","(0.009727774604987626, 0.008683842601102247)"
ndcg,"(0.02017349423325423, 0.04034698846650846)","(0.03187975354705058, 0.04127606082566799)","(0.04208429966924192, 0.05939882941728784)","(0.059784143607954955, 0.059494438636229205)"
