,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.004, 0.008)","(0.006, 0.008)","(0.003, 0.004)"
recall,"(0.015384615384615385, 0.03076923076923077)","(0.015384615384615385, 0.03076923076923077)","(0.04326923076923077, 0.06035521087105853)","(0.04326923076923077, 0.06035521087105853)"
f1,"(0.010526315789473686, 0.02105263157894737)","(0.00634920634920635, 0.0126984126984127)","(0.010527921879768082, 0.014114631829337691)","(0.005607720396452791, 0.007498865979790338)"
ndcg,"(0.0075787182600523875, 0.015157436520104775)","(0.0075787182600523875, 0.015157436520104775)","(0.01803750568613828, 0.02548641393113325)","(0.01803750568613828, 0.02548641393113325)"
