,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.024, 0.014966629547095765)","(0.014000000000000002, 0.008)","(0.009000000000000001, 0.004898979485566356)"
recall,"(0.011764705882352941, 0.023529411764705882)","(0.07352941176470588, 0.04719648981141533)","(0.08529411764705883, 0.04934694628106623)","(0.10955882352941178, 0.06074081302371584)"
f1,"(0.009523809523809526, 0.019047619047619056)","(0.03618272274988693, 0.022726091357673023)","(0.02404951370468612, 0.013764104323048481)","(0.01663253114866018, 0.009065310074944325)"
ndcg,"(0.008277887089920506, 0.016555774179841012)","(0.03894515021355608, 0.022764766181607058)","(0.04439661072072999, 0.025763503543064527)","(0.05300276367417248, 0.028947069795369443)"
