,Top 25,Top 50,Top 100,Top 200
precision,"(0.016, 0.019595917942265423)","(0.012, 0.016)","(0.008, 0.0116619037896906)","(0.007000000000000001, 0.005099019513592784)"
recall,"(0.042222222222222223, 0.051830683509736006)","(0.06444444444444444, 0.08788319970348972)","(0.08666666666666667, 0.12927146286443544)","(0.1511111111111111, 0.11102218663819374)"
f1,"(0.02319327731092437, 0.028410818970239247)","(0.020225988700564974, 0.027063031489499487)","(0.014645537948290242, 0.021392370505309885)","(0.01337890179995443, 0.009748227232478921)"
ndcg,"(0.02426505511276627, 0.02977333061825218)","(0.03342990519563341, 0.044067322180303486)","(0.041125562340909236, 0.057855133251322736)","(0.06063238723332963, 0.05211785738914878)"
