,Top 25,Top 50,Top 100,Top 200
precision,"(0.072, 0.039191835884530846)","(0.044000000000000004, 0.0265329983228432)","(0.026000000000000002, 0.010198039027185569)","(0.018, 0.006782329983125268)"
recall,"(0.05647605083088954, 0.03131490869174005)","(0.06898826979472142, 0.04225962513983978)","(0.08148826979472142, 0.03281454208261549)","(0.11295210166177908, 0.04437757345200463)"
f1,"(0.06329185031544378, 0.03480151487439245)","(0.053723112867005506, 0.032583862397776026)","(0.0394181150308109, 0.015553573811856099)","(0.03104966662758582, 0.01176456978433988)"
ndcg,"(0.06448360430980975, 0.03441721174476438)","(0.06246132184506479, 0.036177412892491934)","(0.06906489121067337, 0.03106761607246275)","(0.08409246500261741, 0.03507675987802561)"
