,Top 25,Top 50,Top 100,Top 200
precision,"(0.016, 0.019595917942265423)","(0.012, 0.009797958971132711)","(0.012, 0.01469693845669907)","(0.009, 0.007348469228349535)"
recall,"(0.019090909090909092, 0.02342563404859114)","(0.028181818181818186, 0.023070140982635493)","(0.05818181818181819, 0.07376531918218471)","(0.08675324675324676, 0.07336179599643974)"
f1,"(0.01739952718676123, 0.021318372434552212)","(0.016825396825396823, 0.013740935306558188)","(0.01989071038251366, 0.0245101308397292)","(0.016306195129724543, 0.01335862405676112)"
ndcg,"(0.034760981200440855, 0.05181108381749393)","(0.03981604538973812, 0.04934739222768185)","(0.05289541594626066, 0.055945261974255735)","(0.06402341629381939, 0.04947687833969185)"
