,Top 50,Top 100,Top 200,Top N
precision,"(0.012, 0.009797958971132711)","(0.014000000000000002, 0.011999999999999999)","(0.007000000000000001, 0.005999999999999999)","(0.014285714285714285, 0.013883218797250714)"
recall,"(0.03676470588235294, 0.030048259914268453)","(0.08602941176470588, 0.07431928687348986)","(0.08602941176470588, 0.07431928687348986)","(0.07426470588235294, 0.0730277001055008)"
f1,"(0.018091361374943465, 0.014772457899039599)","(0.02407898614795167, 0.020660498052454502)","(0.01294589520395972, 0.011102626427577561)","(0.02396039603960396, 0.02333073306987769)"
ndcg,"(0.018976729200120453, 0.015545735047213058)","(0.03956533921125731, 0.03392846711949576)","(0.03956533921125731, 0.03392846711949576)","(0.03475697443518455, 0.03282793124383429)"
