,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.004, 0.008)","(0.01, 0.01549193338482967)","(0.008, 0.006782329983125268)"
recall,"(0.006060606060606061, 0.012121212121212121)","(0.006060606060606061, 0.012121212121212121)","(0.030303030303030304, 0.04694525268130202)","(0.046677299308878255, 0.0412207257314691)"
f1,"(0.006896551724137929, 0.013793103448275858)","(0.0048192771084337345, 0.009638554216867469)","(0.015037593984962405, 0.02329614042831529)","(0.013654193764506606, 0.01164698229894381)"
ndcg,"(0.006860575199493452, 0.013721150398986904)","(0.0047174411012773625, 0.009434882202554725)","(0.015538940299288437, 0.02499446117657246)","(0.022535626090585355, 0.02225918132373641)"
