,Top 25,Top 50,Top 100,Top 200
precision,"(0.032, 0.0466476151587624)","(0.02, 0.025298221281347035)","(0.01, 0.012649110640673518)","(0.007000000000000001, 0.005099019513592784)"
recall,"(0.022727272727272728, 0.03249637968110185)","(0.028787878787878786, 0.03598285480920581)","(0.028787878787878786, 0.03598285480920581)","(0.04011164274322169, 0.028926161273146254)"
f1,"(0.026568682871678913, 0.03829988170103095)","(0.023592042588960492, 0.029688774851597002)","(0.014838567005749667, 0.018708117807586185)","(0.011915632623894107, 0.008665676192270743)"
ndcg,"(0.03580896097363052, 0.04730549827830521)","(0.027947034326382136, 0.03492368660314664)","(0.027947034326382136, 0.03492368660314664)","(0.032624104383175256, 0.03148125997530422)"
