,Top 50,Top 100,Top 200,Top N
precision,"(0.012, 0.016)","(0.014000000000000002, 0.01854723699099141)","(0.01, 0.008366600265340756)","(0.01282051282051282, 0.010726410596590711)"
recall,"(0.02, 0.026666666666666665)","(0.0464516129032258, 0.06187198058678898)","(0.06623655913978495, 0.05578396795719924)","(0.06623655913978495, 0.05578396795719924)"
f1,"(0.015000000000000003, 0.02)","(0.021514973576042276, 0.02853931451145696)","(0.017376246941464335, 0.014550640320791577)","(0.021482375941578976, 0.017992747546292202)"
ndcg,"(0.012378887473371887, 0.016874964728435124)","(0.02601595572853757, 0.0350357117155703)","(0.03510227959139999, 0.03205165875635209)","(0.03510227959139999, 0.03205165875635209)"
