,Top 50,Top 100,Top 200,Top N
precision,"(0.016, 0.014966629547095765)","(0.008, 0.0074833147735478825)","(0.008, 0.004)","(0.019047619047619046, 0.017817416127494958)"
recall,"(0.09722222222222222, 0.09296222517045286)","(0.09722222222222222, 0.09296222517045286)","(0.19444444444444445, 0.09781564923143893)","(0.09722222222222222, 0.09296222517045286)"
f1,"(0.027469316189362953, 0.025774334670467247)","(0.014780835881753312, 0.01384907282884713)","(0.015366212734633788, 0.00768318901350404)","(0.03184313725490196, 0.029892952677205212)"
ndcg,"(0.09133608014844144, 0.12104231593608987)","(0.09133608014844144, 0.12104231593608987)","(0.1193205320832044, 0.10998699177305192)","(0.09133608014844144, 0.12104231593608987)"
