,Top 50,Top 100,Top 200,Top N
precision,"(0.02, 0.025298221281347035)","(0.012, 0.0116619037896906)","(0.008, 0.00812403840463596)","(0.018518518518518517, 0.023424278964210215)"
recall,"(0.09090909090909091, 0.1149919149152138)","(0.10909090909090909, 0.10601730717900545)","(0.14545454545454545, 0.14770978917519928)","(0.09090909090909091, 0.1149919149152138)"
f1,"(0.032786885245901634, 0.04147249390384759)","(0.02162162162162162, 0.021012439260703782)","(0.015165876777251184, 0.015401020672295658)","(0.030769230769230764, 0.03892034043284159)"
ndcg,"(0.08224152446685322, 0.11329792297223837)","(0.08849737223001597, 0.10937998427965062)","(0.10043016539392449, 0.1156326247677062)","(0.08224152446685322, 0.11329792297223837)"
