,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.002, 0.002449489742783178)","(0.0, 0.0)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.02, 0.024494897427831785)","(0.0, 0.0)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.0036363636363636364, 0.004453617714151233)","(0.0, 0.0)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.007164462612188505, 0.008776015046096236)","(0.0, 0.0)"
