,Top 25,Top 50,Top 100,Top 200
precision,"(0.024, 0.048)","(0.012, 0.024)","(0.01, 0.010954451150103323)","(0.006, 0.004898979485566356)"
recall,"(0.05, 0.10000000000000002)","(0.05, 0.10000000000000002)","(0.08484848484848484, 0.09133737498849416)","(0.10484848484848486, 0.08092327647747218)"
f1,"(0.032432432432432434, 0.06486486486486487)","(0.01935483870967742, 0.038709677419354833)","(0.01788931788931789, 0.019561625754401693)","(0.011347666313239057, 0.00923793240555846)"
ndcg,"(0.06922204484749608, 0.13844408969499217)","(0.06922204484749608, 0.13844408969499217)","(0.0821254766440818, 0.13277903377695258)","(0.08830223107967908, 0.1294926375818257)"
