,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.002, 0.004)","(0.001, 0.002)","(0.0019801980198019802, 0.0039603960396039604)"
recall,"(0.0, 0.0)","(0.01, 0.02)","(0.01, 0.02)","(0.01, 0.02)"
f1,"(0.0, 0.0)","(0.003333333333333333, 0.006666666666666666)","(0.0018181818181818182, 0.0036363636363636364)","(0.003305785123966942, 0.006611570247933884)"
ndcg,"(0.0, 0.0)","(0.004554815222946442, 0.009109630445892884)","(0.004554815222946442, 0.009109630445892884)","(0.004554815222946442, 0.009109630445892884)"
