,Top 25,Top 50,Top 100,Top 200
precision,"(0.016, 0.019595917942265423)","(0.012, 0.016)","(0.01, 0.01549193338482967)","(0.007000000000000001, 0.006782329983125268)"
recall,"(0.019523809523809523, 0.023923536546819942)","(0.029523809523809525, 0.03977259622442115)","(0.049523809523809526, 0.07746552155300097)","(0.06813852813852814, 0.06839147316785132)"
f1,"(0.017584541062801932, 0.021538743641496074)","(0.017062374245472835, 0.022817433696536785)","(0.016639118457300275, 0.025819947759087813)","(0.012694438576791516, 0.012341225620404506)"
ndcg,"(0.013586023608671772, 0.01687396050352988)","(0.01931289395519451, 0.02645957269755191)","(0.02867418276078454, 0.04409167361711023)","(0.035965216905343024, 0.040071128073231904)"
