,Top 25,Top 50,Top 100,Top 200
precision,"(0.024, 0.048)","(0.02, 0.025298221281347035)","(0.016, 0.010198039027185569)","(0.011, 0.008)"
recall,"(0.02, 0.04)","(0.032903225806451615, 0.041831135683735046)","(0.05247311827956989, 0.03367085449410631)","(0.0724731182795699, 0.05345113594118188)"
f1,"(0.02181818181818182, 0.04363636363636364)","(0.02487654320987654, 0.031525991289885515)","(0.024521432765707573, 0.015652819430421128)","(0.019100319969885187, 0.0139168561951177)"
ndcg,"(0.01923941356950213, 0.03847882713900426)","(0.024425915273047355, 0.033126251566971396)","(0.03456375182322903, 0.02795888962964862)","(0.043595424414914194, 0.037720630009948096)"
