,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.002, 0.004)","(0.001, 0.002)","(0.0, 0.0)"
recall,"(0.0, 0.0)","(0.015384615384615385, 0.03076923076923077)","(0.015384615384615385, 0.03076923076923077)","(0.0, 0.0)"
f1,"(0.0, 0.0)","(0.0035398230088495583, 0.0070796460176991175)","(0.0018779342723004694, 0.003755868544600939)","(0.0, 0.0)"
ndcg,"(0.0, 0.0)","(0.006092972519269281, 0.01218594503853856)","(0.006092972519269281, 0.01218594503853856)","(0.0, 0.0)"
