,Top 25,Top 50,Top 100,Top 200
precision,"(0.024, 0.019595917942265426)","(0.016, 0.014966629547095765)","(0.014000000000000002, 0.004898979485566356)","(0.007000000000000001, 0.002449489742783178)"
recall,"(0.033529411764705884, 0.027565587091435254)","(0.04529411764705882, 0.04368810500618151)","(0.07816993464052288, 0.02567088630845773)","(0.07816993464052288, 0.02567088630845773)"
f1,"(0.027936507936507943, 0.022839499363307876)","(0.023624733475479744, 0.022275644258488207)","(0.02373171085035492, 0.008193252175476612)","(0.012844497911085658, 0.004461256568778255)"
ndcg,"(0.052731148485020606, 0.052680677874976475)","(0.05784547983974392, 0.055380051086832624)","(0.07148455163680013, 0.054255022577745796)","(0.07148455163680013, 0.054255022577745796)"
