,Top 50,Top 100,Top 200,Top N
precision,"(0.027999999999999997, 0.029933259094191533)","(0.013999999999999999, 0.014966629547095767)","(0.008, 0.006782329983125268)","(0.01386138613861386, 0.014818445096134421)"
recall,"(0.07676470588235294, 0.0769689642212184)","(0.07676470588235294, 0.0769689642212184)","(0.08729102167182663, 0.06892993310948922)","(0.07676470588235294, 0.0769689642212184)"
f1,"(0.04094850423208632, 0.0429918274339465)","(0.02364868847627468, 0.025017626480976586)","(0.014646232967046046, 0.012337224181206353)","(0.023450577841949184, 0.02481021387363149)"
ndcg,"(0.07613110166370242, 0.07576663492502898)","(0.07613110166370242, 0.07576663492502898)","(0.07997090449885112, 0.0722142816282993)","(0.07613110166370242, 0.07576663492502898)"
