,Top 25,Top 50,Top 100,Top 200
precision,"(0.07200000000000001, 0.016)","(0.06, 0.012649110640673518)","(0.054000000000000006, 0.024166091947189147)","(0.039, 0.013928388277184121)"
recall,"(0.018213727596301677, 0.004134599666136245)","(0.030279775067921906, 0.006236201681398042)","(0.05445268633769297, 0.024019322831107425)","(0.07862719824772015, 0.02746905025123474)"
f1,"(0.02906994430574227, 0.006563175096636707)","(0.04024267098314285, 0.008342192335861903)","(0.05421800641602623, 0.024086931951235773)","(0.052132294643101526, 0.01847932139192973)"
ndcg,"(0.06844089319478264, 0.021269219822708393)","(0.06067611952956522, 0.004961727251089593)","(0.055522440184131674, 0.01495684661779399)","(0.06895729998849733, 0.01650852005877918)"
