,Top 50,Top 100,Top 200,Top N
precision,"(0.008, 0.009797958971132713)","(0.006, 0.008)","(0.004, 0.0037416573867739412)","(0.007407407407407407, 0.009072184232530289)"
recall,"(0.03636363636363636, 0.04453617714151233)","(0.05454545454545454, 0.07272727272727272)","(0.07454545454545454, 0.06861077186950257)","(0.03636363636363636, 0.04453617714151233)"
f1,"(0.013114754098360654, 0.016062227821529034)","(0.010810810810810811, 0.014414414414414415)","(0.007591965696231098, 0.0070956245678449265)","(0.012307692307692308, 0.015073783032511865)"
ndcg,"(0.014812054169857475, 0.018141094030112322)","(0.02164878941736601, 0.02865669600668964)","(0.028044348934824558, 0.026606516303076172)","(0.014812054169857475, 0.018141094030112322)"
