,Top 25,Top 50,Top 100,Top 200
precision,"(0.032, 0.0466476151587624)","(0.032, 0.016)","(0.024, 0.014966629547095767)","(0.012999999999999998, 0.009273618495495703)"
recall,"(0.06837606837606838, 0.09189524824420932)","(0.15757020757020754, 0.08479684260933211)","(0.23229548229548228, 0.14474478954780115)","(0.2476800976800977, 0.16304774113306567)"
f1,"(0.043343653250773995, 0.06164023710090312)","(0.05266318703629861, 0.025788830792631383)","(0.04323486767504571, 0.02660135929930297)","(0.024621243678595427, 0.017414598468708607)"
ndcg,"(0.053286612722695616, 0.08736178165159494)","(0.07680454953848706, 0.07502345156166781)","(0.09725825097957677, 0.09159222110563818)","(0.10169847522591471, 0.10029633500652237)"
