,Top 25,Top 50,Top 100,Top 200
precision,"(0.016, 0.019595917942265426)","(0.016, 0.008)","(0.008, 0.004)","(0.004, 0.002)"
recall,"(0.1, 0.12247448713915891)","(0.19, 0.09695359714832658)","(0.19, 0.09695359714832658)","(0.19, 0.09695359714832658)"
f1,"(0.02758620689655173, 0.03378606541769901)","(0.029494949494949498, 0.014749780733876887)","(0.015347985347985349, 0.007674320501447111)","(0.007833572453371592, 0.003916830021319758)"
ndcg,"(0.09985476221206678, 0.15126107691622395)","(0.12944259448063167, 0.13523600803963887)","(0.12944259448063167, 0.13523600803963887)","(0.12944259448063167, 0.13523600803963887)"
