,Top 25,Top 50,Top 100,Top 200
precision,"(0.088, 0.02993325909419153)","(0.048, 0.00979795897113271)","(0.036000000000000004, 0.008000000000000002)","(0.02, 0.00316227766016838)"
recall,"(0.2018181818181818, 0.06515081042606878)","(0.22181818181818183, 0.04209395237378263)","(0.3345454545454546, 0.07765147819659136)","(0.3709090909090909, 0.05930729611018215)"
f1,"(0.12253968253968255, 0.041066654887061356)","(0.0789071038251366, 0.015888771012359564)","(0.06499590499590499, 0.01448215784087378)","(0.037950801173549986, 0.005995274150082215)"
ndcg,"(0.1144053132288676, 0.041710660326845464)","(0.12251740418820978, 0.030262228655469098)","(0.16413058304129008, 0.03760856517026171)","(0.17624250364183344, 0.03369021234530573)"
