,Top 25,Top 50,Top 100,Top 200
precision,"(0.016, 0.019595917942265423)","(0.02, 0.012649110640673518)","(0.016, 0.013564659966250536)","(0.015, 0.008944271909999158)"
recall,"(0.01818181818181818, 0.022268088570756166)","(0.04838383838383839, 0.02902419398266264)","(0.07565656565656567, 0.06048000358456016)","(0.14106782106782106, 0.07758102907602944)"
f1,"(0.01702127659574468, 0.020846721215175983)","(0.02826330532212885, 0.017580278646398474)","(0.026395294989348887, 0.022164804454126278)","(0.027109153541965192, 0.01605145324198069)"
ndcg,"(0.012839214400922694, 0.01583801412291351)","(0.02808803101481481, 0.017742703245730004)","(0.04076620594501475, 0.03326900636608851)","(0.0668768825929376, 0.041115686864370685)"
