,Top 25,Top 50,Top 100,Top 200
precision,"(0.04, 0.025298221281347035)","(0.02, 0.012649110640673518)","(0.01, 0.006324555320336759)","(0.006999999999999999, 0.002449489742783178)"
recall,"(0.12222222222222223, 0.07925190343159504)","(0.12222222222222223, 0.07925190343159504)","(0.12222222222222223, 0.07925190343159504)","(0.16666666666666666, 0.057601225981465894)"
f1,"(0.06024955436720143, 0.038337269329825494)","(0.03436586791350088, 0.02181006443334836)","(0.018484539585457017, 0.01171233663791531)","(0.013433934486566065, 0.0046956517009377014)"
ndcg,"(0.10246656038906243, 0.06616209827276061)","(0.10246656038906243, 0.06616209827276061)","(0.10246656038906243, 0.06616209827276061)","(0.11598632788377321, 0.05698464735797399)"
