,Top 25,Top 50,Top 100,Top 200
precision,"(0.06399999999999999, 0.047999999999999994)","(0.06000000000000001, 0.012649110640673518)","(0.05800000000000001, 0.017204650534085257)","(0.042, 0.012489995996796796)"
recall,"(0.016349721706864564, 0.012131200045076316)","(0.03076298701298701, 0.006326754660397407)","(0.059505772005772006, 0.017617074620183908)","(0.08620774067202638, 0.025435428274958156)"
f1,"(0.026045087163748204, 0.019367627950644225)","(0.040671240331073, 0.008433953933245013)","(0.05874124280441582, 0.0174052382167723)","(0.05648045634914617, 0.01675128120555868)"
ndcg,"(0.09011171804994803, 0.08835909334921542)","(0.0773503798270326, 0.04583978092655658)","(0.06916253925557639, 0.026811270590852865)","(0.08532451977840456, 0.023313404336224718)"
