,Top 25,Top 50,Top 100,Top 200
precision,"(0.024, 0.032)","(0.012, 0.016)","(0.012, 0.0116619037896906)","(0.01, 0.005477225575051661)"
recall,"(0.023692307692307693, 0.031851727494418544)","(0.023692307692307693, 0.031851727494418544)","(0.04707692307692308, 0.04629312318733604)","(0.07985284280936454, 0.04315048871114133)"
f1,"(0.02384313725490196, 0.03192301389029647)","(0.01592982456140351, 0.021298679148164287)","(0.019123809523809526, 0.018628809468188408)","(0.01777033480164557, 0.00971618913319674)"
ndcg,"(0.020724219608078707, 0.028222632568625092)","(0.02020174664138035, 0.027511119042662503)","(0.03224527477379567, 0.03290932273429946)","(0.045440817146765525, 0.030151226905406465)"
