,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.008, 0.016)","(0.006, 0.008)","(0.007000000000000001, 0.0024494897427831783)"
recall,"(0.0, 0.0)","(0.05, 0.1)","(0.075, 0.1)","(0.16666666666666666, 0.06804138174397718)"
f1,"(0.0, 0.0)","(0.013793103448275865, 0.02758620689655173)","(0.01111111111111111, 0.014814814814814814)","(0.013433934486566065, 0.0047330957488449345)"
ndcg,"(0.0, 0.0)","(0.01908117898106358, 0.03816235796212716)","(0.027307296180758445, 0.0375914026440731)","(0.05559878056233876, 0.02616027014742616)"
