,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.008, 0.009797958971132711)","(0.004, 0.004898979485566356)","(0.002, 0.002449489742783178)"
recall,"(0.02857142857142857, 0.05714285714285714)","(0.06190476190476191, 0.07619047619047618)","(0.06190476190476191, 0.07619047619047618)","(0.06190476190476191, 0.07619047619047618)"
f1,"(0.0125, 0.025000000000000005)","(0.014160401002506267, 0.017344010302552337)","(0.007511902662669723, 0.009200333246658603)","(0.0038741147225739873, 0.004744825318843531)"
ndcg,"(0.014071360647941433, 0.028142721295882862)","(0.02474060335299012, 0.030774700610214895)","(0.02474060335299012, 0.030774700610214895)","(0.02474060335299012, 0.030774700610214895)"
