,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.008, 0.016)","(0.004, 0.008)","(0.002, 0.004)"
recall,"(0.0, 0.0)","(0.08, 0.16)","(0.08, 0.16)","(0.08, 0.16)"
f1,"(0.0, 0.0)","(0.014545454545454545, 0.02909090909090909)","(0.007619047619047618, 0.015238095238095235)","(0.003902439024390244, 0.007804878048780486)"
ndcg,"(0.0, 0.0)","(0.025671255518693988, 0.051342511037387975)","(0.025671255518693988, 0.051342511037387975)","(0.025671255518693988, 0.051342511037387975)"
