Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,55,51,55,41,25,27,34,31
heat_diffusion,17,25,29,47,11,12,14,17
draw,28,24,16,12,64,61,52,52
