Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,51,42,28,14,35,36,39,27
heat_diffusion,17,22,18,23,13,15,19,17
draw,32,36,54,63,52,49,42,56
