Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,54,49,45,19,27,35,36,33
heat_diffusion,17,21,23,37,12,14,17,19
draw,29,30,32,44,61,51,47,48
