rank	node	num_occ
1	GAS5	20
2	TRIM25	20
3	ESR1	20
4	NFKB1	20
5	MYC	20
6	RELA	20
7	LARP4P	20
8	CTNNB1	20
9	HSPA8	20
10	MDM2	19
11	HIF1A	19
12	TRNE	19
13	CHUK	19
14	CREBBP	18
15	ELAVL1	18
16	EP300	18
17	STAT1	18
18	XPO1	18
19	BCL3	18
20	HSP90AA1	18
21	CEBPB	17
22	BRD4	17
23	KIAA1429	17
24	SP1	17
25	SMAD3	17
26	JUN	17
27	BRCA1	17
28	RXRA	17
29	PML	17
30	PIM3	17
31	NLRC5	17
32	HDAC1	16
33	MEG3	16
34	UBE2I	16
35	NCOR2	16
36	NCOA2	16
37	PLAGL1	16
38	NCOA3	16
39	FOXO3	16
40	RNA5-8SP3	16
41	NFKB2	16
42	IKBKB	16
43	TDG	15
44	UBC	15
45	KLF5	15
46	NCOR1	15
47	SMARCA4	15
48	NCOA1	15
49	TP73	15
50	VDR	15
51	ATF3	15
52	NR3C1	15
53	NR1H4	15
54	RUNX2	15
55	FOS	15
56	PLEKHA4	15
57	MAP3K8	15
58	TRIM28	14
59	RARA	14
60	HDAC2	14
61	TFAP2A	14
62	ETS1	14
63	PIAS1	14
64	ETS2	14
65	FOXO4	14
66	GSK3B	14
67	MAPK1	14
68	CCND1	14
69	IKBKE	14
70	NFKBIB	14
71	ZC3H12A	14
72	HSPA4	14
73	NLRP12	14
74	NCOA6	13
75	CITED2	13
76	NR1H3	13
77	SMAD2	13
78	PPARGC1A	13
79	SIRT1	13
80	AR	13
81	NR1I2	13
82	RB1	13
83	KAT5	13
84	USP7	13
85	DAXX	13
86	SUMO1	13
87	TNIP2	13
88	TRIM40	13
89	BTRC	13
90	NFKBIE	13
91	RPS2P5	13
92	VCP	13
93	POLI	12
94	SRF	12
95	DDX5	12
96	TFAP2C	12
97	TSC22D3	12
98	E2F1	12
99	PARP1	12
100	HNF4A	12
101	AKT1	12
