,Top 50,Top 100,Top 200,Top N
precision,0.0,0.0,0.013157894736842105,0.013157894736842105
recall,0.0,0.0,0.005,0.009174311926605505
f1,0.0,0.0,0.007246376811594203,0.01081081081081081
ndcg,0.0,0.0,0.008957633620261233,0.008957633620261233
