,Top 50,Top 100,Top 200,Top N
precision,0.18,0.17,0.11,0.17045454545454544
recall,0.009127789046653144,0.017241379310344827,0.02231237322515213,0.015212981744421906
f1,0.017374517374517374,0.031307550644567216,0.03709949409780775,0.02793296089385475
ndcg,0.164837832161823,0.16253882638507494,0.11820674945023167,0.16216595620951155
