,Top 50,Top 100,Top 200,Top N
precision,0.0,0.0,0.0,0.125
recall,0.0,0.0,0.0,0.0024752475247524753
f1,0.0,0.0,0.0,0.0048543689320388345
ndcg,0.0,0.0,0.0,0.1089364926177559
