,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.002, 0.004)","(0.001, 0.002)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.05, 0.10000000000000002)","(0.05, 0.10000000000000002)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.0038461538461538464, 0.007692307692307693)","(0.00196078431372549, 0.00392156862745098)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.011883976551846217, 0.023767953103692434)","(0.011883976551846217, 0.023767953103692434)"
