,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.008, 0.016)","(0.008, 0.009797958971132713)","(0.005, 0.00447213595499958)"
recall,"(0.0, 0.0)","(0.13333333333333333, 0.26666666666666666)","(0.2333333333333333, 0.2905932629027116)","(0.2833333333333333, 0.26666666666666666)"
f1,"(0.0, 0.0)","(0.01509433962264151, 0.030188679245283016)","(0.015459297983569828, 0.018934064142272142)","(0.00982323964068386, 0.00879055066405211)"
ndcg,"(0.0, 0.0)","(0.03844724387224658, 0.07689448774449316)","(0.06409465603685298, 0.08106649510175902)","(0.07470633910065119, 0.07524562144056647)"
