,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.012, 0.016)","(0.008, 0.0074833147735478825)","(0.004, 0.0037416573867739412)"
recall,"(0.02222222222222222, 0.04444444444444444)","(0.06944444444444445, 0.09043789220055391)","(0.09444444444444444, 0.08489281549964514)","(0.09444444444444444, 0.08489281549964514)"
f1,"(0.011764705882352941, 0.023529411764705882)","(0.02045587375803624, 0.027178032072036312)","(0.014746856948691812, 0.013749255224498694)","(0.007673905042326096, 0.007166018840406616)"
ndcg,"(0.04700910988289708, 0.09401821976579416)","(0.0656461659780869, 0.10833246987018828)","(0.07414244959327129, 0.10444699364010085)","(0.07414244959327129, 0.10444699364010085)"
