,Top 25,Top 50,Top 100,Top 200
precision,"(0.04, 0.03577708763999664)","(0.032, 0.016)","(0.018000000000000002, 0.009797958971132711)","(0.013000000000000001, 0.006782329983125268)"
recall,"(0.125, 0.11180339887498948)","(0.2, 0.1)","(0.225, 0.12247448713915891)","(0.325, 0.1695582495781317)"
f1,"(0.06060606060606061, 0.05420770854544945)","(0.05517241379310346, 0.027586206896551727)","(0.03333333333333333, 0.018144368465060578)","(0.025, 0.013042942275240901)"
ndcg,"(0.14707585384251304, 0.14473812432985259)","(0.1768100966680441, 0.12525460124378188)","(0.18490694805511293, 0.13552804981412103)","(0.21329396061700953, 0.13399932014597657)"
