,Top 25,Top 50,Top 100,Top 200
precision,"(0.192, 0.029933259094191526)","(0.1, 0.012649110640673514)","(0.05, 0.006324555320336757)","(0.026999999999999996, 0.003999999999999999)"
recall,"(0.6, 0.09354143466934853)","(0.625, 0.07905694150420949)","(0.625, 0.07905694150420949)","(0.675, 0.1)"
f1,"(0.2909090909090909, 0.04535342286998717)","(0.1724137931034483, 0.02180881144943709)","(0.09259259259259259, 0.011712139482105107)","(0.05192307692307692, 0.00769230769230769)"
ndcg,"(0.40432824972644343, 0.15659629081040388)","(0.4138339288058227, 0.15586314704693305)","(0.4138339288058227, 0.15586314704693305)","(0.4278964228689001, 0.1541032386208651)"
