,Top 25,Top 50,Top 100,Top 200
precision,"(0.024, 0.019595917942265423)","(0.016, 0.014966629547095765)","(0.01, 0.006324555320336759)","(0.006, 0.002)"
recall,"(0.2, 0.18708286933869708)","(0.25, 0.22360679774997896)","(0.31666666666666665, 0.1855921454276674)","(0.36666666666666664, 0.1130388330520878)"
f1,"(0.042401021711366546, 0.03467050728164936)","(0.029914529914529912, 0.027797859641368588)","(0.019343525311543586, 0.012163539326960404)","(0.011793778624457636, 0.003907197904755483)"
ndcg,"(0.08999285397404962, 0.09046289321055254)","(0.10447197378042523, 0.1163982974575855)","(0.11949387424303512, 0.10636004156888484)","(0.13112228577386037, 0.09525906975839332)"
