,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.008, 0.009797958971132713)","(0.004, 0.004898979485566357)","(0.003, 0.002449489742783178)"
recall,"(0.02857142857142857, 0.05714285714285714)","(0.05714285714285714, 0.06998542122237653)","(0.05714285714285714, 0.06998542122237653)","(0.08571428571428572, 0.06998542122237651)"
f1,"(0.0125, 0.025)","(0.014035087719298248, 0.017189401703741603)","(0.007476635514018691, 0.009156971001058608)","(0.0057971014492753615, 0.004733313512624499)"
ndcg,"(0.013449728772590246, 0.026899457545180493)","(0.02314139737439349, 0.028958486653786277)","(0.02314139737439349, 0.028958486653786277)","(0.030519428376032793, 0.026736855099713235)"
