,Top 25,Top 50,Top 100,Top 200
precision,"(0.04, 0.025298221281347035)","(0.048, 0.027129319932501075)","(0.034, 0.01019803902718557)","(0.019999999999999997, 0.00447213595499958)"
recall,"(0.09090909090909091, 0.0574959574576069)","(0.22000000000000003, 0.12147849518901865)","(0.3145454545454546, 0.09119953602897783)","(0.3690909090909091, 0.0757551514763624)"
f1,"(0.05555555555555556, 0.03513641844631533)","(0.07879781420765027, 0.04436189293600396)","(0.06135954135954137, 0.018337309455727143)","(0.03794177386594448, 0.008447823719685471)"
ndcg,"(0.05908147580527619, 0.04579038099525488)","(0.11628641640048218, 0.07431682540983256)","(0.15158669462744517, 0.055952456437587325)","(0.16869516616115593, 0.05160657460291803)"
