,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.028325041459369815 +/- 0.012854875919260215,0.03876174682144832 +/- 0.01596101476912276,0.0551575456053068 +/- 0.019266461339308618,0.07900497512437811 +/- 0.027806272358154735
Lymphatic Metastasis,0.0 +/- 0.0,0.04 +/- 0.08,0.04 +/- 0.08,0.12000000000000002 +/- 0.16
"Condition, Preneoplastic",0.023529411764705882 +/- 0.028817526385684446,0.058823529411764705 +/- 0.07440653318043246,0.06993464052287582 +/- 0.06872386629069237,0.1503267973856209 +/- 0.049084923805277354
Alzheimer's Disease,0.32483660130718955 +/- 0.09295303418469994,0.36993464052287583 +/- 0.08723470427905901,0.403921568627451 +/- 0.10556314345741465,0.426797385620915 +/- 0.09571537826616726
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.02857142857142857 +/- 0.05714285714285714,0.02857142857142857 +/- 0.05714285714285714,0.1571428571428571 +/- 0.1393213222697885
Female infertility,0.17333333333333334 +/- 0.14966629547095764,0.3466666666666667 +/- 0.2910517327059076,0.38666666666666666 +/- 0.25174943451332277,0.5266666666666667 +/- 0.3309246305597562
Single Seizure,0.2 +/- 0.10954451150103323,0.24 +/- 0.09165151389911678,0.32 +/- 0.07483314773547883,0.42000000000000004 +/- 0.12083045973594572
"Hearing Loss, Extreme",0.1833333333333333 +/- 0.15275252316519466,0.3833333333333333 +/- 0.24494897427831783,0.3833333333333333 +/- 0.24494897427831783,0.4333333333333333 +/- 0.17795130420052185
Stomach Neoplasms,0.07271627344222625 +/- 0.033562289346768935,0.09346642468239565 +/- 0.03561518138086641,0.11766485178463401 +/- 0.042834462811986294,0.14894131881427705 +/- 0.06549732436474266
Pneumonitis,0.16363636363636364 +/- 0.12060453783110546,0.4 +/- 0.2120346143580109,0.6 +/- 0.16861124537264918,0.6727272727272727 +/- 0.15850541612875177
Malignant neoplasm of prostate,0.05798898071625345 +/- 0.019453015458427543,0.07455922865013774 +/- 0.022624175544446724,0.1043801652892562 +/- 0.0322547536159778,0.12431129476584021 +/- 0.02122526514886455
Neuroblastoma,0.17777777777777776 +/- 0.1507184440694504,0.17777777777777776 +/- 0.1507184440694504,0.17777777777777776 +/- 0.1507184440694504,0.24222222222222226 +/- 0.1927577639306795
