,Top 25,Top 50,Top 100,Top 200
precision,"(0.20800000000000002, 0.06881860213634101)","(0.136, 0.04270831300812524)","(0.06999999999999999, 0.02)","(0.036, 0.011575836902790225)"
recall,"(0.29411764705882354, 0.10426834074211645)","(0.38431372549019616, 0.12872001027052046)","(0.39542483660130723, 0.12122377118295039)","(0.4071895424836601, 0.1406611267026277)"
f1,"(0.2436323366555925, 0.08293087586644102)","(0.20087796312554876, 0.06413254713764374)","(0.11893379689989862, 0.03433503802294782)","(0.06614805732888006, 0.021392996130612726)"
ndcg,"(0.40231820547524916, 0.1109221334487086)","(0.4481322045093118, 0.1227580150111117)","(0.45274718942625175, 0.11808431472415594)","(0.45716795012282335, 0.12531097040199235)"
