,Top 50,Top 100,Top 200,Top N
precision,"(0.008695652173913044, 0.017391304347826087)","(0.008695652173913044, 0.017391304347826087)","(0.008695652173913044, 0.017391304347826087)","(0.008695652173913044, 0.017391304347826087)"
recall,"(0.004, 0.008)","(0.002, 0.004)","(0.001, 0.002)","(0.0015625, 0.003125)"
f1,"(0.005479452054794521, 0.010958904109589041)","(0.0032520325203252037, 0.006504065040650407)","(0.0017937219730941706, 0.0035874439461883413)","(0.0026490066225165563, 0.005298013245033113)"
ndcg,"(0.008198301607853864, 0.01639660321570773)","(0.008198301607853864, 0.01639660321570773)","(0.008198301607853864, 0.01639660321570773)","(0.008198301607853864, 0.01639660321570773)"
