,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.004615384615384616, 0.009230769230769232)","(0.006153846153846154, 0.012307692307692308)","(0.016923076923076923, 0.033846153846153845)"
recall,"(0.0, 0.0)","(0.006, 0.012)","(0.004, 0.008)","(0.003133903133903134, 0.006267806267806268)"
f1,"(0.0, 0.0)","(0.0052173913043478265, 0.010434782608695653)","(0.004848484848484848, 0.009696969696969695)","(0.005288461538461539, 0.010576923076923078)"
ndcg,"(0.0, 0.0)","(0.004771087652908664, 0.009542175305817328)","(0.004811051267437089, 0.009622102534874178)","(0.014286893107992018, 0.028573786215984037)"
