,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.00909090909090909, 0.01818181818181818)","(0.045454545454545456, 0.09090909090909091)","(0.01818181818181818, 0.03636363636363636)"
recall,"(0.0, 0.0)","(0.002, 0.004)","(0.005, 0.01)","(0.0034482758620689655, 0.006896551724137931)"
f1,"(0.0, 0.0)","(0.0032786885245901635, 0.006557377049180327)","(0.00900900900900901, 0.01801801801801802)","(0.0057971014492753615, 0.011594202898550723)"
ndcg,"(0.0, 0.0)","(0.007015818709104779, 0.014031637418209559)","(0.03688591447596198, 0.07377182895192395)","(0.013127414098688745, 0.02625482819737749)"
