,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.00909090909090909, 0.01818181818181818)","(0.02727272727272727, 0.05454545454545454)","(0.00909090909090909, 0.01818181818181818)"
recall,"(0.0, 0.0)","(0.002, 0.004)","(0.003, 0.006)","(0.0017241379310344827, 0.0034482758620689655)"
f1,"(0.0, 0.0)","(0.0032786885245901635, 0.006557377049180327)","(0.005405405405405404, 0.010810810810810808)","(0.0028985507246376808, 0.0057971014492753615)"
ndcg,"(0.0, 0.0)","(0.006351522989871909, 0.012703045979743819)","(0.02319492112363354, 0.04638984224726708)","(0.006351522989871909, 0.012703045979743819)"
